"","","","90","Round","2330","0.86","Ideal","I","VS1","2709.3023255814","","","90","Round","536","0.85","Ideal","VS2","I","630.58823529412","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","91","Round","3070","0.89","Ideal","I","VS1","3449.4382022472","","","91","Round","351","0.70","Ideal","VS2","I","501.42857142857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","92","Round","1110","0.70","Ideal","J","VS1","1585.7142857143","","","92","Round","400","0.71","Ideal","VS2","J","563.38028169014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","93","Round","1270","0.74","Ideal","J","VS1","1716.2162162162","","","93","Round","0","0.83","Ideal","VS2","J","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","94","Round","1520","0.80","Ideal","J","VS1","1900","","","94","Round","0","0.71","Ideal","VS2","J","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","95","Round","1730","0.81","Ideal","J","VS1","2135.8024691358","","","95","Round","0","0.80","Ideal","VS2","K","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","96","Round","1120","0.70","Ideal","K","VS1","1600","","","96","Round","0","0.71","Ideal","VS2","K","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","97","Round","1170","0.74","Ideal","K","VS1","1581.0810810811","","","97","Round","0","0.80","Ideal","VS2","K","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","98","Round","1220","0.80","Ideal","K","VS1","1525","","","98","Round","540","0.72","Ideal","SI1","D","750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","99","Round","1200","0.81","Ideal","K","VS1","1481.4814814815","","","99","Round","550","0.70","Ideal","SI1","D","785.71428571429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","100","Round","1620","0.70","Ideal","D","VS2","2314.2857142857","","","100","Round","560","0.71","Ideal","SI1","D","788.7323943662","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","101","Round","2170","0.76","Ideal","D","VS2","2855.2631578947","","","101","Round","600","0.75","Ideal","SI1","D","800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","102","Round","2760","0.80","Ideal","D","VS2","3450","","","102","Round","670","0.81","Ideal","SI1","D","827.16049382716","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","103","Round","3600","0.85","Ideal","D","VS2","4235.2941176471","","","103","Round","468","0.72","Ideal","SI1","E","650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
